record_id,file,volume,issue,kind,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0662,recovered/corpus-v26-v28/vol28/iss2/003-from-the-editor.txt,28,2,editorial,From the Editor,Rod Janzen,3,7,0,2,0,1,0,0,0,0,0,0,2,1,2
M-0610,recovered/corpus-v26-v28/vol26/iss2/003-from-the-editor.txt,26,2,editorial,From the Editor,Rod Janzen,3,6,0,1,0,0,0,0,1,0,1,0,3,0,2
M-0630,recovered/corpus-v26-v28/vol27/iss1/002-contents.txt,27,1,contents,Contents,,4,5,0,0,1,1,1,1,0,0,0,0,1,0,1
M-0647,recovered/corpus-v26-v28/vol28/iss1/003-from-the-editor.txt,28,1,editorial,From the editor,Rod Janzen,3,4,0,0,0,1,3,0,0,0,0,0,2,1,2
M-0646,recovered/corpus-v26-v28/vol28/iss1/002-contents.txt,28,1,contents,Contents,,5,3,0,0,0,1,2,0,0,0,0,0,1,0,1
M-0607,recovered/corpus-v26-v28/vol26/iss1/014-back-matter.txt,26,1,back_matter,Back Matter,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-0628,recovered/corpus-v26-v28/vol26/iss2/021-back-matter.txt,26,2,back_matter,Back Matter,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-0644,recovered/corpus-v26-v28/vol27/iss1/016-back-matter.txt,27,1,back_matter,Back Matter,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-0659,recovered/corpus-v26-v28/vol28/iss1/015-back-matter.txt,28,1,back_matter,Back Matter,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-0675,recovered/corpus-v26-v28/vol28/iss2/016-back-matter.txt,28,2,back_matter,Back Matter,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
